time[s]	density [kg/m3]	viscosity
6.84	4708.275715	0
6.96	4329.492472	0
7.08	4194.512192	0
7.2	4067.693985	0
7.32	3919.562376	0
7.44	3729.424215	0
7.56	3556.879803	0
7.68	3421.207338	0
7.8	3315.8097	0
7.92	3216.71198	0
8.04	3069.913943	0
8.16	2935.929701	0
8.28	2842.873292	0
8.4	2769.716491	0
8.52	2634.145444	0
8.64	2534.884193	0
8.76	2476.55736	0
8.88	2399.268454	0
9	2357.231337	0
9.12	2306.71202	0
9.24	2230.235865	0
9.36	2158.667927	0
9.48	2116.224594	0
9.6	2067.444926	0
9.72	2009.544116	0
9.84	1947.723179	0
9.96	1906.326299	0
10.08	1873.149719	0
10.2	1841.108157	0
10.32	1810.144347	0
10.44	1759.829674	0
10.56	1712.236444	0
10.68	1685.424097	0
10.8	1649.267282	0
10.92	1609.799325	0
11.04	1576.782638	0
11.16	1545.093064	0
11.28	1527.55014	0
11.4	1501.970177	0
11.52	1481.298966	0
11.64	1445.489966	0
11.76	1415.082604	0
11.88	1396.719217	0
12	1371.796875	0
12.12	1351.132097	0
12.24	1321.27649	0
12.36	1295.824499	0
12.48	1277.369842	0
12.6	1262.387789	0
12.72	1241.993802	0
12.84	1219.478618	0
12.96	1195.105295	0
13.08	1179.390564	0
13.2	1166.607228	0
13.32	1151.628321	0
13.44	1131.054885	1
13.56	1111.203622	2
13.68	1095.371289	3
13.8	1084.335914	3
13.92	1062.919048	4
14.04	1044.354578	5
14.16	1032.334384	7
14.28	1018.655904	8
14.4	1009.105408	9
14.52	996.0316754	10
14.64	980.6048	12
14.76	965.6485093	13
14.88	955.362887	14
15	945.2940703	16
15.12	930.5825942	17
15.24	916.3220062	19
15.36	905.5290497	21
15.48	897.9741603	22
15.6	889.0730452	24
15.72	880.3466616	25
15.84	867.5736164	27
15.96	855.1659212	28
16.08	845.7581553	30
16.2	837.8575654	32
16.32	826.2796165	33
16.44	815.0172864	35
16.56	805.260982	36
16.68	799.2810252	38
16.8	791.0567606	39
16.92	784.1409212	41
17.04	772.8793828	42
17.16	763.0170342	44
17.28	757.6459443	45
17.4	749.2077325	47
17.52	740.4456718	48
17.64	731.8861883	49
17.76	724.009033	51
17.88	717.2543173	52
18	710.6244741	53
18.12	703.1960202	55
18.24	696.8223673	56
18.36	687.9150125	57
18.48	681.8141572	58
18.6	677.5222388	59
18.72	672.4427268	60
18.84	664.9646784	61
18.96	658.4557864	61
19.08	652.8641444	62
19.2	648.1463498	62
19.32	639.6718344	63
19.44	632.1577755	63
19.56	627.7334821	64
19.68	621.9298674	64
19.8	617.6470954	64
19.92	612.7244839	64
20.04	605.8267638	64
20.16	599.7502666	65
20.28	595.7665385	65
20.4	592.4869693	65
20.52	585.3974918	65
20.64	579.0981537	65
20.76	575.999052	65
20.88	571.7156212	66
21	567.4954279	66
21.12	563.9273963	66
21.24	558.3688672	67
21.36	553.4875185	67
21.48	550.0929308	68
21.6	546.1848313	68
21.72	541.5132967	69
21.84	535.8517517	70
21.96	532.1427017	70
22.08	529.0041426	71
22.2	525.9023886	72
22.32	523.3452438	73
22.44	518.3048389	75
22.56	513.3605974	76
22.68	510.4390726	77
22.8	507.5506123	78
22.92	503.9856848	80
23.04	500.005495	81
23.16	496.7745908	83
23.28	494.9470378	85
23.4	492.2307823	86
23.52	489.9899064	88
23.64	485.5688119	90
23.76	482.0889673	91
23.88	479.084763	93
24	476.9617249	95
24.12	474.4387854	96
24.24	470.9099705	98
24.36	467.4332617	100
24.48	465.4120161	102
24.6	462.6114624	104
24.72	460.6316137	105
24.84	457.8881258	107
24.96	455.5624433	109
25.08	452.8788305	110
25.2	450.9812405	112
25.32	448.3511741	113
25.44	446.4912588	114
25.56	443.9131521	116
25.68	442.4532716	117
25.8	439.9214536	118
25.92	437.7742734	119
26.04	435.8243556	120
26.16	433.1932015	121
26.28	431.4566778	122
26.4	430.0774508	123
26.52	428.025065	124
26.64	425.150825	125
26.76	422.9787898	126
26.88	421.9837797	127
27	420.3357918	128
27.12	417.7256184	129
27.24	415.147662	130
27.36	413.2349798	131
