Actual Ram Displacement,OLD Angle LH,OLD Angle RH,xx
-29,13.35,11.2,-40.83673469
-28,12.84,10.85,-39.42857143
-27,12.35,10.51,-38.02040816
-26,11.85,10.16,-36.6122449
-25,11.36,9.81,-35.20408163
-24,10.87,9.46,-33.79591837
-23,10.39,9.1,-32.3877551
-22,9.9,8.74,-30.97959184
-21,9.43,8.38,-29.57142857
-20,8.95,8.02,-28.16326531
-19,8.48,7.65,-26.75510204
-18,8.01,7.28,-25.34693878
-17,7.54,6.91,-23.93877551
-16,7.07,6.53,-22.53061224
-15,6.61,6.15,-21.12244898
-14,6.15,5.77,-19.71428571
-13,5.69,5.39,-18.30612245
-12,5.24,5,-16.89795918
-11,4.78,4.61,-15.48979592
-10,4.33,4.21,-14.08163265
-9,3.88,3.81,-12.67346939
-8,3.43,3.41,-11.26530612
-7,2.99,3.01,-9.857142857
-6,2.55,2.6,-8.448979592
-5,2.1,2.19,-7.040816327
-4,1.67,1.77,-5.632653061
-3,1.23,1.36,-4.224489796
-2,0.79,0.93,-2.816326531
-1,0.36,0.51,-1.408163265
0,0,0,0
1,0.51,0.36,1.408163265
2,0.93,0.79,2.816326531
3,1.36,1.23,4.224489796
4,1.77,1.67,5.632653061
5,2.19,2.1,7.040816327
6,2.6,2.55,8.448979592
7,3.01,2.99,9.857142857
8,3.41,3.43,11.26530612
9,3.81,3.88,12.67346939
10,4.21,4.33,14.08163265
11,4.61,4.78,15.48979592
12,5,5.24,16.89795918
13,5.39,5.69,18.30612245
14,5.77,6.15,19.71428571
15,6.15,6.61,21.12244898
16,6.53,7.07,22.53061224
17,6.91,7.54,23.93877551
18,7.28,8.01,25.34693878
19,7.65,8.48,26.75510204
20,8.02,8.95,28.16326531
21,8.38,9.43,29.57142857
22,8.74,9.9,30.97959184
23,9.1,10.39,32.3877551
24,9.46,10.87,33.79591837
25,9.81,11.36,35.20408163
26,10.16,11.85,36.6122449
27,10.51,12.35,38.02040816
28,10.85,12.84,39.42857143
29,11.2,13.35,40.83673469
30,11.54,13.85,999
31,11.87,14.36,999
32,12.21,14.88,999
33,12.54,15.39,999
34,12.87,15.92,999
35,13.19,16.44,999
36,13.52,16.97,999
37,14.15,18.04,999
38,14.47,18.59,999
39,14.78,19.14,999
40,15.09,19.7,999
41,15.4,20.26,999
